parcel_num	parcel_name	num_vertices	roi_num	roi_name	roi_count	roi_percentage	bilateral_parcel_name	bilateral_roi_name	bilateral_roi_count	bilateral_num_vertices	bilateral_roi_count_max	bilateral_roi_percentage
1	R_V1_ROI	787	12	R_Occipital	436	55.4002541296061	V1_ROI	Occipital	1009	1618	1009	0.6236093943139679
2	R_MST_ROI	76	2	R_Other	63	82.89473684210526	MST_ROI	Other	136	149	136	0.912751677852349
3	R_V6_ROI	123	2	R_Other	102	82.92682926829268	V6_ROI	Other	207	237	207	0.8734177215189873
4	R_V2_ROI	601	2	R_Other	363	60.39933444259567	V2_ROI	Other	769	1220	769	0.6303278688524591
5	R_V3_ROI	347	2	R_Other	305	87.89625360230548	V3_ROI	Other	614	684	614	0.8976608187134503
6	R_V4_ROI	300	2	R_Other	299	99.66666666666667	V4_ROI	Other	660	661	660	0.9984871406959153
7	R_V8_ROI	64	2	R_Other	64	100.0	V8_ROI	Other	113	113	113	1.0
8	R_4_ROI	810	2	R_Other	810	100.0	4_ROI	Other	1649	1649	1649	1.0
9	R_3b_ROI	557	2	R_Other	557	100.0	3b_ROI	Other	1131	1131	1131	1.0
10	R_FEF_ROI	179	2	R_Other	150	83.79888268156425	FEF_ROI	Other	284	332	284	0.8554216867469879
11	R_PEF_ROI	91	2	R_Other	41	45.05494505494506	PEF_ROI	Other	107	163	107	0.656441717791411
12	R_55b_ROI	107	4	R_Frontal	64	59.813084112149525	55b_ROI	Frontal	126	237	126	0.5316455696202531
13	R_V3A_ROI	147	2	R_Other	140	95.23809523809523	V3A_ROI	Other	291	298	291	0.9765100671140939
14	R_RSC_ROI	231	10	R_PCingPrecun	162	70.12987012987013	RSC_ROI	PCingPrecun	312	442	312	0.7058823529411765
15	R_POS2_ROI	250	10	R_PCingPrecun	165	66.0	POS2_ROI	PCingPrecun	354	500	354	0.708
16	R_V7_ROI	45	8	R_Angular	44	97.77777777777777	V7_ROI	Angular	53	89	53	0.5955056179775281
17	R_IPS1_ROI	111	8	R_Angular	86	77.47747747747748	IPS1_ROI	Angular	132	246	132	0.5365853658536586
18	R_FFC_ROI	167	6	R_Temporal	157	94.01197604790418	FFC_ROI	Temporal	291	318	291	0.9150943396226415
19	R_V3B_ROI	73	2	R_Other	73	100.0	V3B_ROI	Other	150	150	150	1.0
20	R_LO1_ROI	43	2	R_Other	40	93.02325581395348	LO1_ROI	Other	77	80	77	0.9625
21	R_LO2_ROI	31	2	R_Other	31	100.0	LO2_ROI	Other	81	83	81	0.9759036144578314
22	R_PIT_ROI	62	2	R_Other	59	95.16129032258065	PIT_ROI	Other	113	124	113	0.9112903225806451
23	R_MT_ROI	42	2	R_Other	22	52.38095238095239	MT_ROI	Other	54	100	54	0.54
24	R_A1_ROI	66	2	R_Other	66	100.0	A1_ROI	Other	143	143	143	1.0
