parcel_num	parcel_name	num_vertices	roi_num	roi_name	roi_count	roi_percentage	bilateral_parcel_name	bilateral_roi_name	bilateral_roi_count	bilateral_num_vertices	bilateral_roi_count_max	bilateral_roi_percentage
1	R_V1_ROI	787	0	???	787	100.0	V1_ROI	???	1618	1618	1618	1.0
2	R_MST_ROI	76	0	???	76	100.0	MST_ROI	???	149	149	149	1.0
3	R_V6_ROI	123	0	???	122	99.1869918699187	V6_ROI	???	236	237	236	0.9957805907172996
4	R_V2_ROI	601	0	???	601	100.0	V2_ROI	???	1220	1220	1220	1.0
5	R_V3_ROI	347	0	???	347	100.0	V3_ROI	???	684	684	684	1.0
6	R_V4_ROI	300	0	???	300	100.0	V4_ROI	???	661	661	661	1.0
7	R_V8_ROI	64	0	???	64	100.0	V8_ROI	???	113	113	113	1.0
8	R_4_ROI	810	0	???	805	99.38271604938271	4_ROI	???	1641	1649	1641	0.9951485748938751
9	R_3b_ROI	557	0	???	557	100.0	3b_ROI	???	1131	1131	1131	1.0
10	R_FEF_ROI	179	0	???	172	96.08938547486034	FEF_ROI	???	294	332	294	0.8855421686746988
11	R_PEF_ROI	91	2	R_Lateral	50	54.94505494505495	PEF_ROI	Lateral	122	163	122	0.7484662576687117
12	R_55b_ROI	107	0	???	69	64.48598130841121	55b_ROI	???	128	237	128	0.540084388185654
13	R_V3A_ROI	147	0	???	131	89.1156462585034	V3A_ROI	???	282	298	282	0.9463087248322147
14	R_RSC_ROI	231	0	???	231	100.0	RSC_ROI	???	442	442	442	1.0
15	R_POS2_ROI	250	0	???	223	89.2	POS2_ROI	???	469	500	469	0.938
16	R_V7_ROI	45	2	R_Lateral	45	100.0	V7_ROI	Lateral	56	89	56	0.6292134831460674
17	R_IPS1_ROI	111	2	R_Lateral	95	85.58558558558559	IPS1_ROI	Lateral	170	246	170	0.6910569105691057
18	R_FFC_ROI	167	0	???	94	56.287425149700596	FFC_ROI	???	174	318	174	0.5471698113207547
19	R_V3B_ROI	73	0	???	50	68.4931506849315	V3B_ROI	???	127	150	127	0.8466666666666667
20	R_LO1_ROI	43	0	???	43	100.0	LO1_ROI	???	80	80	80	1.0
21	R_LO2_ROI	31	0	???	29	93.54838709677419	LO2_ROI	???	81	83	81	0.9759036144578314
22	R_PIT_ROI	62	0	???	58	93.54838709677419	PIT_ROI	???	120	124	120	0.967741935483871
23	R_MT_ROI	42	0	???	39	92.85714285714286	MT_ROI	???	91	100	91	0.91
24	R_A1_ROI	66	0	???	66	100.0	A1_ROI	???	143	143	143	1.0
25	R_PSL_ROI	175	0	???	175	100.0	PSL_ROI	???	327	338	327	0.9674556213017751
26	R_SFL_ROI	119	0	???	119	100.0	SFL_ROI	???	304	304	304	1.0
27	R_PCV_ROI	164	0	???	164	100.0	PCV_ROI	???	328	328	328	1.0
28	R_STV_ROI	148	0	???	135	91.21621621621621	STV_ROI	???	262	286	262	0.916083916083916
29	R_7Pm_ROI	96	0	???	88	91.66666666666666	7Pm_ROI	???	167	190	167	0.8789473684210526
30	R_7m_ROI	135	0	???	135	100.0	7m_ROI	???	265	265	265	1.0
31	R_POS1_ROI	212	0	???	212	100.0	POS1_ROI	???	437	437	437	1.0
32	R_23d_ROI	113	0	???	113	100.0	23d_ROI	???	194	194	194	1.0
33	R_v23ab_ROI	82	0	???	82	100.0	v23ab_ROI	???	154	154	154	1.0
34	R_d23ab_ROI	47	0	???	47	100.0	d23ab_ROI	???	135	135	135	1.0
