parcel_num	parcel_name	num_vertices	roi_num	roi_name	roi_count	roi_percentage
1	R_V1_ROI	787	12.0	OccipitalR	478	60.736975857687426
2	R_MST_ROI	76	2.0	OtherR	76	100.0
3	R_V6_ROI	123	2.0	OtherR	111	90.2439024390244
4	R_V2_ROI	601	2.0	OtherR	373	62.06322795341098
5	R_V3_ROI	347	2.0	OtherR	304	87.60806916426513
6	R_V4_ROI	300	2.0	OtherR	300	100.0
7	R_V8_ROI	64	2.0	OtherR	64	100.0
8	R_4_ROI	810	2.0	OtherR	810	100.0
9	R_3b_ROI	557	2.0	OtherR	557	100.0
10	R_FEF_ROI	179	2.0	OtherR	151	84.35754189944134
11	R_PEF_ROI	91	4.0	FrontalR	51	56.043956043956044
12	R_55b_ROI	107	4.0	FrontalR	69	64.48598130841121
13	R_V3A_ROI	147	2.0	OtherR	147	100.0
14	R_RSC_ROI	231	10.0	PCingPrecunR	167	72.2943722943723
15	R_POS2_ROI	250	10.0	PCingPrecunR	175	70.0
16	R_V7_ROI	45	8.0	AngularR	37	82.22222222222221
17	R_IPS1_ROI	111	8.0	AngularR	69	62.16216216216216
18	R_FFC_ROI	167	6.0	TemporalR	134	80.23952095808383
19	R_V3B_ROI	73	2.0	OtherR	73	100.0
20	R_LO1_ROI	43	2.0	OtherR	43	100.0
21	R_LO2_ROI	31	2.0	OtherR	31	100.0
22	R_PIT_ROI	62	2.0	OtherR	52	83.87096774193549
23	R_MT_ROI	42	2.0	OtherR	30	71.42857142857143
24	R_A1_ROI	66	2.0	OtherR	66	100.0
25	R_PSL_ROI	175	2.0	OtherR	175	100.0
26	R_SFL_ROI	119	4.0	FrontalR	115	96.63865546218487
27	R_PCV_ROI	164	2.0	OtherR	88	53.65853658536586
28	R_STV_ROI	148	2.0	OtherR	148	100.0
29	R_7Pm_ROI	96	10.0	PCingPrecunR	60	62.5
30	R_7m_ROI	135	10.0	PCingPrecunR	135	100.0
31	R_POS1_ROI	212	10.0	PCingPrecunR	212	100.0
32	R_23d_ROI	113	4.0	FrontalR	50	44.24778761061947
33	R_v23ab_ROI	82	10.0	PCingPrecunR	82	100.0
34	R_d23ab_ROI	47	10.0	PCingPrecunR	47	100.0
35	R_31pv_ROI	111	10.0	PCingPrecunR	111	100.0
36	R_5m_ROI	152	2.0	OtherR	152	100.0
37	R_5mv_ROI	220	2.0	OtherR	220	100.0
38	R_23c_ROI	269	2.0	OtherR	245	91.07806691449815
39	R_5L_ROI	197	2.0	OtherR	197	100.0
40	R_24dd_ROI	248	2.0	OtherR	248	100.0
41	R_24dv_ROI	157	2.0	OtherR	157	100.0
42	R_7AL_ROI	167	2.0	OtherR	167	100.0
43	R_SCEF_ROI	193	2.0	OtherR	126	65.28497409326425
44	R_6ma_ROI	209	2.0	OtherR	128	61.24401913875598
45	R_7Am_ROI	196	2.0	OtherR	195	99.48979591836735
46	R_7PL_ROI	77	2.0	OtherR	73	94.8051948051948
47	R_7PC_ROI	196	2.0	OtherR	196	100.0
