x	y	z	label	n	type	name
12.868036	-77.749649	4.639350	1	787	right	R_V1_ROI
44.616203	-63.476189	5.280532	2	76	right	R_MST_ROI
17.299551	-76.406593	31.877108	3	123	right	R_V6_ROI
9.512243	-74.946976	-1.301103	4	601	right	R_V2_ROI
28.407021	-92.059837	6.932029	5	347	right	R_V3_ROI
34.166084	-85.109718	2.895423	6	300	right	R_V4_ROI
31.254848	-73.340538	-11.943922	7	64	right	R_V8_ROI
27.981262	-23.437120	57.826187	8	810	right	R_4_ROI
39.964077	-24.566975	52.352070	9	557	right	R_3b_ROI
41.691929	-3.179137	49.230339	10	179	right	R_FEF_ROI
45.845993	3.016489	35.228367	11	91	right	R_PEF_ROI
47.482868	3.025221	43.914272	12	107	right	R_55b_ROI
20.676573	-85.670273	27.027460	13	147	right	R_V3A_ROI
5.881766	-35.936672	26.659601	14	231	right	R_RSC_ROI
12.180731	-68.896782	38.701385	15	250	right	R_POS2_ROI
28.194702	-79.298508	32.825302	16	45	right	R_V7_ROI
26.908304	-70.837936	39.177032	17	111	right	R_IPS1_ROI
41.917419	-55.056702	-17.415714	18	167	right	R_FFC_ROI
30.242615	-75.842392	21.988426	19	73	right	R_V3B_ROI
40.791592	-79.776688	4.841645	20	43	right	R_LO1_ROI
44.091545	-80.710564	-3.965461	21	31	right	R_LO2_ROI
41.314888	-79.767479	-10.848976	22	62	right	R_PIT_ROI
47.066013	-68.387482	8.576417	23	42	right	R_MT_ROI
45.270016	-21.744320	10.057719	24	66	right	R_A1_ROI
61.826561	-37.223801	24.789101	25	175	right	R_PSL_ROI
8.934066	16.714821	63.521526	26	119	right	R_SFL_ROI
7.150812	-52.626842	49.862671	27	164	right	R_PCV_ROI
55.816780	-42.927433	20.017639	28	148	right	R_STV_ROI
7.777985	-65.751190	51.998554	29	96	right	R_7Pm_ROI
5.089746	-61.952076	37.265232	30	135	right	R_7m_ROI
12.107329	-54.455151	14.268466	31	212	right	R_POS1_ROI
3.244620	-22.074217	37.246490	32	113	right	R_23d_ROI
6.189164	-51.944382	20.276224	33	82	right	R_v23ab_ROI
4.593992	-36.526939	33.452595	34	47	right	R_d23ab_ROI
9.334835	-45.973507	32.736389	35	111	right	R_31pv_ROI
7.095034	-40.067398	63.764999	36	152	right	R_5m_ROI
13.654548	-39.328548	52.845737	37	220	right	R_5mv_ROI
10.894234	-31.075268	41.562672	38	269	right	R_23c_ROI
12.213260	-43.735638	70.037170	39	197	right	R_5L_ROI
7.832321	-15.616057	50.359642	40	248	right	R_24dd_ROI
9.031563	-3.264499	44.971466	41	157	right	R_24dv_ROI
20.597898	-49.557304	65.175354	42	167	right	R_7AL_ROI
6.427135	3.218930	58.492931	43	193	right	R_SCEF_ROI
17.290293	4.387730	66.487534	44	209	right	R_6ma_ROI
10.450264	-57.438377	60.004784	45	196	right	R_7Am_ROI
15.574512	-68.279358	55.275417	46	77	right	R_7PL_ROI
33.780197	-46.551193	61.000305	47	196	right	R_7PC_ROI
28.103914	-54.367199	52.787838	48	154	right	R_LIPv_ROI
21.254318	-59.459129	60.756821	49	111	right	R_VIP_ROI
25.200380	-64.071754	48.531258	50	180	right	R_MIP_ROI
49.072155	-24.532824	54.669003	51	387	right	R_1_ROI
36.758705	-33.412212	51.985691	52	624	right	R_2_ROI
36.490669	-18.588781	42.947952	53	320	right	R_3a_ROI
33.649174	-10.954890	61.956017	54	178	right	R_6d_ROI
15.653464	-12.080366	68.710426	55	269	right	R_6mp_ROI
59.450489	6.088143	29.980461	56	117	right	R_6v_ROI
3.631247	-2.426533	38.750240	57	92	right	R_p24pr_ROI
3.648257	5.546562	30.085089	58	75	right	R_33pr_ROI
4.378438	17.654264	31.912144	59	53	right	R_a24pr_ROI
9.784490	12.515684	40.028790	60	138	right	R_p32pr_ROI
4.915367	38.614113	-1.617936	61	82	right	R_a24_ROI
9.426849	39.612255	24.248270	62	123	right	R_d32_ROI
5.963498	27.302847	46.813034	63	175	right	R_8BM_ROI
9.881059	49.201317	-0.427913	64	101	right	R_p32_ROI
7.476609	49.740170	-9.428304	65	74	right	R_10r_ROI
33.531582	34.367641	-11.692043	66	61	right	R_47m_ROI
39.101540	18.446417	47.305717	67	207	right	R_8Av_ROI
22.900244	27.750652	44.419617	68	239	right	R_8Ad_ROI
6.980372	51.770821	19.295025	69	266	right	R_9m_ROI
12.432601	38.952175	49.739532	70	190	right	R_8BL_ROI
19.260098	47.568253	34.867210	71	103	right	R_9p_ROI
8.815913	66.427757	6.575737	72	118	right	R_10d_ROI
41.474842	15.648666	35.793991	73	243	right	R_8C_ROI
52.341053	19.700724	9.701554	74	145	right	R_44_ROI
51.354782	28.953295	2.649844	75	135	right	R_45_ROI
47.547871	31.924685	-11.383950	76	115	right	R_47l_ROI
39.764549	53.564251	-6.260818	77	174	right	R_a47r_ROI
50.957539	9.279622	16.197903	78	263	right	R_6r_ROI
43.945663	16.209175	25.030844	79	79	right	R_IFJa_ROI
41.903465	7.780945	28.525679	80	63	right	R_IFJp_ROI
45.111908	27.009197	20.303156	81	133	right	R_IFSp_ROI
44.322659	38.193127	8.081909	82	156	right	R_IFSa_ROI
44.311485	32.636818	26.563131	83	181	right	R_p9-46v_ROI
34.110519	36.982300	31.021091	84	243	right	R_46_ROI
38.215931	49.979412	10.890966	85	95	right	R_a9-46v_ROI
27.374466	47.923801	22.973713	86	249	right	R_9-46d_ROI
17.468071	59.172699	21.701395	87	131	right	R_9a_ROI
5.192660	55.287792	-13.816584	88	98	right	R_10v_ROI
23.058458	58.437302	-6.260895	89	71	right	R_a10p_ROI
13.961637	61.940273	-13.011136	90	96	right	R_10pp_ROI
25.831570	47.767883	-12.530668	91	153	right	R_11l_ROI
23.164637	29.748779	-14.802262	92	82	right	R_13l_ROI
9.558821	33.085602	-21.124428	93	352	right	R_OFC_ROI
30.004539	20.823416	-17.196297	94	146	right	R_47s_ROI
32.385300	-53.547749	46.241589	95	75	right	R_LIPd_ROI
26.703907	0.317797	53.678200	96	339	right	R_6a_ROI
32.463684	10.927257	54.796036	97	99	right	R_i6-8_ROI
21.736282	19.962711	57.511536	98	86	right	R_s6-8_ROI
57.263313	0.191654	10.704823	99	135	right	R_43_ROI
56.454880	-11.249921	14.181517	100	215	right	R_OP4_ROI
45.764050	-19.253401	18.442083	101	92	right	R_OP1_ROI
38.549866	-15.990908	19.981684	102	87	right	R_OP2-3_ROI
40.491337	-20.327509	-0.013067	103	53	right	R_52_ROI
42.442997	-32.627098	17.716885	104	238	right	R_RI_ROI
49.935768	-27.380205	23.865639	105	184	right	R_PFcm_ROI
39.409100	-0.582601	-2.415851	106	172	right	R_PoI2_ROI
51.070782	1.433949	-5.334502	107	111	right	R_TA2_ROI
38.885128	16.554058	7.832025	108	156	right	R_FOP4_ROI
38.903095	9.512278	0.023300	109	107	right	R_MI_ROI
32.195107	5.889029	-17.560072	110	197	right	R_Pir_ROI
32.630657	22.979881	-3.416811	111	150	right	R_AVI_ROI
34.530216	13.324907	-13.307920	112	63	right	R_AAIC_ROI
47.273441	4.702295	4.680386	113	71	right	R_FOP1_ROI
35.811447	7.081398	11.808861	114	75	right	R_FOP3_ROI
41.247646	-0.434288	15.100471	115	86	right	R_FOP2_ROI
55.121521	-22.680609	39.906555	116	193	right	R_PFt_ROI
38.402931	-38.171581	44.676563	117	371	right	R_AIP_ROI
20.407789	-15.362910	-28.130171	118	86	right	R_EC_ROI
17.515343	-33.116142	-7.507432	119	169	right	R_PreS_ROI
30.650000	-21.743103	-17.143963	120	208	right	R_H_ROI
19.161781	-46.215542	0.159024	121	133	right	R_ProS_ROI
30.168797	-7.550952	-34.049122	122	312	right	R_PeEc_ROI
52.340206	13.505357	-17.442562	123	48	right	R_STGa_ROI
58.740719	-20.531593	9.281776	124	96	right	R_PBelt_ROI
60.588280	-18.694302	-1.102106	125	199	right	R_A5_ROI
21.741999	-33.573956	-15.713557	126	112	right	R_PHA1_ROI
32.873520	-37.536983	-14.523055	127	85	right	R_PHA3_ROI
51.645412	-2.332883	-15.366664	128	188	right	R_STSda_ROI
48.563042	-27.585480	-1.157089	129	210	right	R_STSdp_ROI
59.409180	-31.380041	-3.330049	130	151	right	R_STSvp_ROI
42.686218	14.566060	-33.128506	131	418	right	R_TGd_ROI
61.439808	-6.943161	-21.976341	132	105	right	R_TE1a_ROI
59.402020	-43.208961	-9.331376	133	226	right	R_TE1p_ROI
56.725224	-16.733055	-27.167582	134	279	right	R_TE2a_ROI
40.714272	-21.166967	-25.372217	135	313	right	R_TF_ROI
48.574993	-43.022148	-16.932823	136	145	right	R_TE2p_ROI
57.205723	-54.070637	-0.347774	137	121	right	R_PHT_ROI
46.812309	-60.144485	-8.445168	138	172	right	R_PH_ROI
52.540062	-43.406178	9.774299	139	297	right	R_TPOJ1_ROI
51.623222	-55.064091	9.041479	140	143	right	R_TPOJ2_ROI
44.493912	-63.429131	16.625275	141	95	right	R_TPOJ3_ROI
20.001259	-66.782158	29.065027	142	130	right	R_DVT_ROI
44.259300	-75.821808	24.030241	143	153	right	R_PGp_ROI
42.513000	-45.110569	43.603760	144	218	right	R_IP2_ROI
35.172642	-62.463547	43.265930	145	194	right	R_IP1_ROI
34.847675	-71.403404	30.062210	146	95	right	R_IP0_ROI
60.197052	-18.283558	26.483541	147	155	right	R_PFop_ROI
59.684307	-31.191349	34.773335	148	383	right	R_PF_ROI
52.996429	-48.023502	41.170586	149	471	right	R_PFm_ROI
50.947899	-56.500431	24.763706	150	377	right	R_PGi_ROI
45.470181	-65.462959	37.702778	151	209	right	R_PGs_ROI
21.493494	-78.633591	43.254250	152	47	right	R_V6A_ROI
18.792952	-53.811264	-7.306680	153	113	right	R_VMV1_ROI
28.838982	-58.784683	-9.751029	154	59	right	R_VMV3_ROI
30.609837	-32.254688	-16.037924	155	61	right	R_PHA2_ROI
46.459591	-74.042191	0.295708	156	45	right	R_V4t_ROI
47.332001	-62.122238	-0.584309	157	77	right	R_FST_ROI
36.789108	-81.614212	15.927535	158	79	right	R_V3CD_ROI
45.541134	-73.388870	11.545681	159	65	right	R_LO3_ROI
28.207733	-51.928360	-6.601517	160	83	right	R_VMV2_ROI
11.070921	-51.788750	38.594349	161	81	right	R_31pd_ROI
8.059866	-41.234596	40.161026	162	72	right	R_31a_ROI
30.794483	-47.309830	-17.475103	163	124	right	R_VVC_ROI
3.864771	19.554708	-13.050659	164	62	right	R_25_ROI
5.315578	34.407471	-12.637934	165	52	right	R_s32_ROI
14.723441	10.612280	-17.653276	166	118	right	R_pOFC_ROI
38.201942	-8.724125	-6.781188	167	163	right	R_PoI1_ROI
37.068241	-10.752426	13.536224	168	124	right	R_Ig_ROI
39.606033	27.551350	4.568332	169	156	right	R_FOP5_ROI
24.562023	57.825245	6.068632	170	148	right	R_p10p_ROI
43.706497	44.519035	-1.634794	171	100	right	R_p47r_ROI
40.193470	1.054065	-43.200748	172	126	right	R_TGv_ROI
46.933060	-13.960133	3.766355	173	75	right	R_MBelt_ROI
50.755592	-24.615335	10.219404	174	85	right	R_LBelt_ROI
64.658348	-22.240808	8.621317	175	187	right	R_A4_ROI
54.995132	-9.497624	-15.740174	176	81	right	R_STSva_ROI
62.937817	-27.163040	-15.000190	177	122	right	R_TE1m_ROI
44.247925	-1.497482	-14.754904	178	127	right	R_PI_ROI
9.950115	26.952230	31.004795	179	127	right	R_a32pr_ROI
4.499588	34.797798	15.688910	180	73	right	R_p24_ROI
-10.277366	-82.818573	2.156388	181	831	left	L_V1_ROI
-43.722328	-67.714729	7.546371	182	73	left	L_MST_ROI
-13.539228	-78.069786	29.496962	183	114	left	L_V6_ROI
-7.250531	-76.743767	-2.139911	184	619	left	L_V2_ROI
-23.567968	-93.929726	5.566861	185	337	left	L_V3_ROI
-30.579838	-88.859131	2.030996	186	361	left	L_V4_ROI
-30.375168	-75.191559	-12.862514	187	49	left	L_V8_ROI
-24.855028	-25.255568	58.651909	188	839	left	L_4_ROI
-40.917839	-24.168472	50.321442	189	574	left	L_3b_ROI
-38.456440	-5.533726	49.908642	190	153	left	L_FEF_ROI
-45.005180	-0.202113	37.372940	191	72	left	L_PEF_ROI
-44.914513	1.051639	46.493370	192	130	left	L_55b_ROI
-15.896986	-88.152618	24.584764	193	151	left	L_V3A_ROI
-4.921068	-35.863205	26.357546	194	211	left	L_RSC_ROI
-8.580836	-69.678642	36.719917	195	250	left	L_POS2_ROI
-22.258394	-82.430595	29.898264	196	44	left	L_V7_ROI
-22.082418	-72.343285	38.181355	197	135	left	L_IPS1_ROI
-40.653164	-59.975151	-16.406218	198	151	left	L_FFC_ROI
-26.463608	-81.191261	19.074141	199	77	left	L_V3B_ROI
-37.190117	-84.137848	5.891631	200	37	left	L_LO1_ROI
-41.868782	-83.140923	-2.874750	201	52	left	L_LO2_ROI
-39.014355	-81.766029	-11.215570	202	62	left	L_PIT_ROI
-44.841743	-73.619194	10.110447	203	58	left	L_MT_ROI
-42.268669	-25.412706	10.330328	204	77	left	L_A1_ROI
-55.329235	-44.020473	23.258198	205	163	left	L_PSL_ROI
-9.186943	13.081277	64.465378	206	185	left	L_SFL_ROI
-6.185384	-52.884628	50.233437	207	164	left	L_PCV_ROI
-58.326050	-47.802715	16.965353	208	138	left	L_STV_ROI
-6.122375	-65.745735	51.025528	209	94	left	L_7Pm_ROI
-4.291895	-61.233219	37.464985	210	130	left	L_7m_ROI
-10.610703	-57.617897	13.696397	211	225	left	L_POS1_ROI
-1.885504	-20.450548	36.872948	212	81	left	L_23d_ROI
-5.470840	-54.489479	20.259645	213	72	left	L_v23ab_ROI
-3.302959	-37.824810	32.660625	214	88	left	L_d23ab_ROI
-8.723822	-46.165573	32.354687	215	109	left	L_31pv_ROI
-5.409594	-41.061535	62.420864	216	112	left	L_5m_ROI
-13.937617	-39.554371	50.962223	217	191	left	L_5mv_ROI
-9.890004	-31.093508	40.521778	218	243	left	L_23c_ROI
-11.588449	-44.233250	67.610535	219	188	left	L_5L_ROI
-7.649139	-18.018311	47.961571	220	223	left	L_24dd_ROI
-8.747561	-3.419116	43.298328	221	141	left	L_24dv_ROI
-20.111000	-51.463173	64.466873	222	204	left	L_7AL_ROI
-5.603080	1.269237	56.805450	223	203	left	L_SCEF_ROI
-16.775883	3.767111	66.519836	224	178	left	L_6ma_ROI
-10.161518	-57.599236	59.268208	225	208	left	L_7Am_ROI
-13.638579	-68.708847	54.380070	226	97	left	L_7PL_ROI
-32.783310	-49.099621	58.971626	227	171	left	L_7PC_ROI
-27.243282	-55.606968	52.727882	228	130	left	L_LIPv_ROI
-21.317656	-61.098930	59.250168	229	116	left	L_VIP_ROI
-23.298317	-64.594841	47.753872	230	159	left	L_MIP_ROI
-48.135384	-26.418999	53.818886	231	401	left	L_1_ROI
-36.589325	-37.738750	53.377625	232	574	left	L_2_ROI
-34.710144	-21.350630	44.096497	233	305	left	L_3a_ROI
-30.733246	-12.790787	64.012177	234	154	left	L_6d_ROI
-14.733856	-12.466460	69.151855	235	258	left	L_6mp_ROI
-57.217285	2.764076	32.620598	236	85	left	L_6v_ROI
-2.438915	-3.053184	38.486565	237	81	left	L_p24pr_ROI
-2.472650	3.203111	30.685043	238	55	left	L_33pr_ROI
-4.256122	16.905327	31.387867	239	94	left	L_a24pr_ROI
-8.319389	11.897198	39.402939	240	139	left	L_p32pr_ROI
-4.643966	40.643970	-2.115875	241	90	left	L_a24_ROI
-8.038206	40.817181	23.851257	242	120	left	L_d32_ROI
-5.241724	28.198177	45.764194	243	174	left	L_8BM_ROI
-9.888760	50.181404	0.277536	244	99	left	L_p32_ROI
-7.610716	51.426212	-7.427567	245	94	left	L_10r_ROI
-32.909885	32.198429	-14.160709	246	53	left	L_47m_ROI
-35.929703	17.540920	49.072247	247	199	left	L_8Av_ROI
-20.895557	26.231607	42.709034	248	242	left	L_8Ad_ROI
-5.952018	52.372154	23.300871	249	275	left	L_9m_ROI
-11.089999	32.433598	53.726799	250	151	left	L_8BL_ROI
-17.064486	45.096653	37.583908	251	147	left	L_9p_ROI
-11.456670	65.862190	10.086655	252	153	left	L_10d_ROI
-41.140278	14.153990	36.930222	253	257	left	L_8C_ROI
-51.330082	18.058868	10.770670	254	139	left	L_44_ROI
-49.119831	27.326035	2.372548	255	200	left	L_45_ROI
-45.572788	29.652885	-8.709602	256	113	left	L_47l_ROI
-40.573227	48.068859	-11.215114	257	176	left	L_a47r_ROI
-49.775772	5.841798	18.514524	258	242	left	L_6r_ROI
-41.628246	13.724780	25.569717	259	88	left	L_IFJa_ROI
-40.699459	4.479635	29.726040	260	87	left	L_IFJp_ROI
-43.130489	22.167337	21.745243	261	103	left	L_IFSp_ROI
-42.541172	33.732201	13.152911	262	159	left	L_IFSa_ROI
-43.150177	28.350401	27.862373	263	128	left	L_p9-46v_ROI
-34.326675	36.782288	29.556684	264	213	left	L_46_ROI
-36.215801	50.870934	10.215680	265	126	left	L_a9-46v_ROI
-27.402433	45.717728	23.186970	266	267	left	L_9-46d_ROI
-17.473221	55.417862	25.632715	267	151	left	L_9a_ROI
-4.384475	54.331184	-15.054088	268	133	left	L_10v_ROI
-25.805317	56.588497	-2.253823	269	105	left	L_a10p_ROI
-14.682271	61.321274	-9.824903	270	95	left	L_10pp_ROI
-24.794012	47.588814	-12.345724	271	170	left	L_11l_ROI
-21.557707	28.772360	-16.399971	272	117	left	L_13l_ROI
-11.613584	32.812420	-22.952398	273	328	left	L_OFC_ROI
-30.079142	18.499130	-18.031982	274	119	left	L_47s_ROI
-29.623943	-54.796558	46.041271	275	99	left	L_LIPd_ROI
-23.057402	-1.666566	54.732738	276	360	left	L_6a_ROI
-28.263435	11.037514	54.022160	277	86	left	L_i6-8_ROI
-19.591722	18.908699	56.738480	278	55	left	L_s6-8_ROI
-56.982510	-1.145133	10.163439	279	126	left	L_43_ROI
-55.712585	-13.972607	14.139246	280	212	left	L_OP4_ROI
-46.376789	-22.759350	18.641186	281	135	left	L_OP1_ROI
-37.579781	-18.105848	19.787003	282	141	left	L_OP2-3_ROI
-37.957161	-22.309162	-0.215663	283	72	left	L_52_ROI
-38.001541	-34.020023	18.756325	284	205	left	L_RI_ROI
-49.583809	-31.774584	21.628565	285	131	left	L_PFcm_ROI
-39.018353	-2.485123	-2.715182	286	161	left	L_PoI2_ROI
-50.813091	0.709570	-4.305541	287	71	left	L_TA2_ROI
-37.779110	13.682892	7.415350	288	217	left	L_FOP4_ROI
-37.159409	8.857522	-0.295351	289	117	left	L_MI_ROI
-31.038458	3.019061	-16.499159	290	186	left	L_Pir_ROI
-30.075380	22.472916	-4.404722	291	126	left	L_AVI_ROI
-33.510895	10.491885	-13.367570	292	76	left	L_AAIC_ROI
-47.533981	0.860400	4.969735	293	50	left	L_FOP1_ROI
-35.686005	3.974858	12.373250	294	84	left	L_FOP3_ROI
-40.686989	-4.331622	15.551772	295	104	left	L_FOP2_ROI
-52.989449	-27.862539	38.238750	296	195	left	L_PFt_ROI
-38.087303	-40.842747	43.883358	297	309	left	L_AIP_ROI
-19.592440	-15.471162	-28.678995	298	86	left	L_EC_ROI
-15.053738	-34.544567	-8.238155	299	159	left	L_PreS_ROI
-27.796049	-26.187086	-15.059814	300	233	left	L_H_ROI
-16.745378	-48.904129	0.155888	301	138	left	L_ProS_ROI
-29.443422	-8.362228	-32.633198	302	245	left	L_PeEc_ROI
-52.192539	10.676887	-16.408695	303	57	left	L_STGa_ROI
-52.732628	-27.207644	8.285916	304	164	left	L_PBelt_ROI
-60.033848	-17.944496	-1.785308	305	138	left	L_A5_ROI
-19.732359	-37.550236	-13.779179	306	108	left	L_PHA1_ROI
-31.599173	-38.298306	-15.318576	307	120	left	L_PHA3_ROI
-52.405540	-6.982421	-10.426343	308	123	left	L_STSda_ROI
-52.367001	-34.307316	1.717490	309	199	left	L_STSdp_ROI
-55.570572	-33.418835	-3.948974	310	208	left	L_STSvp_ROI
-42.789394	11.948450	-34.218220	311	418	left	L_TGd_ROI
-60.223118	-10.579434	-20.943945	312	124	left	L_TE1a_ROI
-57.873505	-46.393852	-10.532459	313	238	left	L_TE1p_ROI
-56.771053	-22.203495	-26.148619	314	253	left	L_TE2a_ROI
-39.405952	-22.121756	-23.850821	315	296	left	L_TF_ROI
-47.268875	-45.480659	-18.097593	316	125	left	L_TE2p_ROI
-56.382938	-58.842514	1.206369	317	182	left	L_PHT_ROI
-43.801350	-63.560516	-6.583996	318	225	left	L_PH_ROI
-51.793549	-47.385437	10.731320	319	181	left	L_TPOJ1_ROI
-48.246620	-59.908077	11.641371	320	156	left	L_TPOJ2_ROI
-42.989822	-69.710060	17.446190	321	84	left	L_TPOJ3_ROI
-15.606978	-70.565750	29.795681	322	129	left	L_DVT_ROI
-39.277882	-82.341919	23.714592	323	147	left	L_PGp_ROI
-38.913902	-49.818264	42.938141	324	198	left	L_IP2_ROI
-30.635038	-65.315277	43.374058	325	189	left	L_IP1_ROI
-29.684010	-75.800552	28.963722	326	108	left	L_IP0_ROI
-59.363525	-22.349501	26.377241	327	159	left	L_PFop_ROI
-59.107761	-37.536484	33.478985	328	372	left	L_PF_ROI
-49.422474	-53.929665	41.953697	329	509	left	L_PFm_ROI
-46.521400	-59.033752	24.180803	330	430	left	L_PGi_ROI
-40.790798	-70.996811	37.746582	331	305	left	L_PGs_ROI
-16.697960	-82.000496	40.869907	332	49	left	L_V6A_ROI
-20.126953	-54.349274	-6.300830	333	88	left	L_VMV1_ROI
-27.348469	-61.370308	-9.019393	334	56	left	L_VMV3_ROI
-29.023935	-35.930630	-14.179040	335	68	left	L_PHA2_ROI
-44.159138	-79.452095	1.406818	336	42	left	L_V4t_ROI
-45.448437	-66.181519	1.506652	337	98	left	L_FST_ROI
-34.098671	-86.656166	14.151124	338	70	left	L_V3CD_ROI
-41.857010	-79.007637	11.973212	339	60	left	L_LO3_ROI
-26.377644	-53.341915	-6.500723	340	46	left	L_VMV2_ROI
-10.162504	-51.740906	37.912239	341	108	left	L_31pd_ROI
-5.434213	-39.051701	41.486023	342	64	left	L_31a_ROI
-31.130711	-53.038353	-16.405361	343	126	left	L_VVC_ROI
-4.213104	20.311155	-12.657589	344	55	left	L_25_ROI
-6.914524	35.134628	-12.214664	345	54	left	L_s32_ROI
-13.517861	10.754960	-17.904581	346	78	left	L_pOFC_ROI
-37.887241	-12.852610	-4.078758	347	154	left	L_PoI1_ROI
-35.903843	-12.567749	13.226521	348	65	left	L_Ig_ROI
-36.676510	27.080978	4.766007	349	138	left	L_FOP5_ROI
-22.637896	58.236855	7.910766	350	110	left	L_p10p_ROI
-41.947472	43.734863	2.457786	351	129	left	L_p47r_ROI
-41.708473	-1.638382	-41.982029	352	67	left	L_TGv_ROI
-46.724308	-15.067241	2.687475	353	91	left	L_MBelt_ROI
-42.592381	-30.597626	9.107589	354	76	left	L_LBelt_ROI
-61.973389	-25.396591	8.658707	355	204	left	L_A4_ROI
-52.740837	-10.673310	-15.027386	356	129	left	L_STSva_ROI
-61.264046	-29.101578	-15.047880	357	102	left	L_TE1m_ROI
-43.854389	-2.822020	-14.412579	358	130	left	L_PI_ROI
-8.257466	28.255693	29.841879	359	128	left	L_a32pr_ROI
-5.422146	36.736530	16.049639	360	58	left	L_p24_ROI
-7.288889	9.481481	-8.414815	361	135	vol	L_ACCUMBENS
-23.047619	-4.577778	-20.025397	362	315	vol	L_AMYGDALA
-12.640110	7.818681	10.082418	363	728	vol	L_CAUDATE
-23.136985	-61.759789	-36.552073	364	8709	vol	L_CEREBELLUM
-10.059490	-15.050992	-10.447592	365	706	vol	L_DIENCEPHALON_VENTRAL
-24.680628	-22.630890	-14.086387	366	764	vol	L_HIPPOCAMPUS
-19.286195	-4.404040	-2.067340	367	297	vol	L_PALLIDUM
-26.016981	-0.045283	-0.967925	368	1060	vol	L_PUTAMEN
-10.599379	-19.128882	5.996894	369	1288	vol	L_THALAMUS
8.085714	10.542857	-8.057143	370	140	vol	R_ACCUMBENS
23.879518	-3.566265	-20.000000	371	332	vol	R_AMYGDALA
13.435762	8.884768	10.328477	372	755	vol	R_CAUDATE
23.643045	-61.543088	-36.584864	373	9144	vol	R_CEREBELLUM
11.176966	-14.418539	-10.123596	374	712	vol	R_DIENCEPHALON_VENTRAL
26.306918	-21.486792	-13.906918	375	795	vol	R_HIPPOCAMPUS
20.069231	-3.523077	-1.707692	376	260	vol	R_PALLIDUM
26.297030	1.770297	-1.031683	377	1010	vol	R_PUTAMEN
11.512821	-18.040064	6.307692	378	1248	vol	R_THALAMUS
0.415899	-30.247120	-32.798963	379	3472	vol	BRAIN_STEM
